1,983
1,209
2,750
2,1000
2,574
2,334
2,464
2,530
3,813
4,26
4,65
5,266
5,993
6,722
6,571
6,927
6,945
6,416
6,131
6,295
6,740
8,301
8,795
8,208
8,178
8,674
8,966
8,799
9,398
9,219
9,720
9,548
9,918
9,236
10,791
10,789
10,664
10,209
10,476
10,505
10,385
11,284
11,975
11,98
11,150
11,604
13,591
13,25
13,31
13,708
13,519
13,587
13,961
13,269
13,19
13,911
14,66
14,1000
14,278
14,886
14,787
14,947
14,924
15,811
15,431
15,437
15,32
15,512
16,166
16,764
16,284
16,632
16,45
16,578
16,334
17,611
17,377
17,569
17,70
17,123
17,794
17,419
17,83
17,990
17,42
18,839
19,369
19,144
19,63
19,379
19,400
19,420
19,85
19,166
19,581
19,332
20,934
20,808
20,521
20,654
20,468
20,982
20,433
21,309
21,287
22,842
22,897
22,222
22,628
22,76
23,624
23,416
23,259
23,145
23,353
23,479
23,186
23,471
23,295
23,845
24,181
24,197
24,713
26,573
27,700
27,878
27,584
27,662
27,995
27,276
27,137
27,487
27,957
27,150
28,550
28,105
28,549
28,398
28,696
28,869
28,813
28,511
29,416
30,617
30,130
30,109
30,703
30,909
30,285
32,655
32,650
32,145
32,699
32,998
32,269
32,966
32,378
34,998
34,582
35,474
36,671
36,350
36,997
36,456
36,825
36,947
36,363
36,857
37,945
38,871
38,648
38,801
39,512
39,701
39,353
39,472
39,659
39,548
39,426
39,567
40,562
40,961
40,717
40,930
40,31
40,484
40,780
40,585
40,746
41,310
41,921
41,775
41,202
41,891
41,185
41,935
42,296
42,380
42,676
42,915
42,209
42,517
42,796
43,371
43,100
43,811
43,214
43,692
43,650
43,221
43,540
43,983
45,590
45,460
45,695
45,817
45,975
46,519
46,437
46,687
46,864
46,779
46,245
46,753
48,115
48,91
48,625
48,640
48,636
48,334
48,49
49,231
49,572
49,15
49,219
49,125
49,805
49,770
49,973
50,503
50,757
50,495
50,310
50,761
50,245
50,200
51,384
52,719
52,546
52,474
52,993
52,756
52,649
53,30
53,367
53,591
53,202
53,237
53,48
53,853
54,171
54,307
54,862
54,308
54,301
54,386
54,269
54,113
55,741
55,496
55,716
55,463
55,9
55,270
55,749
55,596
56,293
56,435
56,637
56,668
57,313
57,639
57,580
57,641
57,140
57,355
57,314
58,937
58,904
59,211
59,43
59,492
59,407
59,149
59,738
59,188
59,931
60,854
60,757
60,615
60,702
60,102
60,369
60,875
61,860
61,492
61,158
61,928
61,246
62,857
63,208
63,648
63,870
63,316
63,57
63,422
63,896
63,835
64,774
64,837
65,339
65,302
65,18
65,209
65,822
66,902
66,456
66,137
66,129
66,386
66,681
66,677
66,287
66,485
66,536
67,789
67,292
67,361
67,960
67,744
67,68
67,476
67,187
67,261
67,155
68,332
68,745
68,268
